"full_name","e","q","i","om","w","ad","per_y","class","n_obs_used","A1","A2","A3","DT","spkid","prefix","neo","M1","M2","K1","K2","PC","diameter","extent","albedo","rot_per","GM","orbit_id","epoch","epoch_mjd","epoch_cal","equinox","a","ma","n","tp","per","moid","moid_ld","moid_jup","t_jup","sigma_e","sigma_a","sigma_q","sigma_i","sigma_om","sigma_w","sigma_ma","sigma_ad","sigma_n","sigma_tp","sigma_per","rms","A1_sigma","A2_sigma","A3_sigma","DT_sigma"
"     C/2000 J7 (SOHO)",1.0000,0.005,143.48,4.59,81.95,,,PAR,10,,,,,1001517,C,,,,,,,,,,,,SAO_2008,2451669.2,51669,2000-05-04.7,J2000,,,,2451669.24,,,,,,,,,,,,,,,,,,,,,
"     C/2000 J8 (SOHO)",1.0000,0.037,72.50,73.65,56.91,,,PAR,14,,,,,1001736,C,,,,,,,,,,,,SAO_2008,2451670.9,51670,2000-05-06.4,J2000,,,,2451670.92,,,,,,,,,,,,,,,,,,,,,
"     C/2000 K1 (LINEAR)",1.0023,6.276,116.79,260.20,15.79,,,HYP,304,,,,,1000305,C,,6.2,9.9,8.25,5.,0.03,,,,,,"JPL 53",2451790.5,51790,2000-09-03.0,J2000,-2731,0.00,6.907e-06,2451527.01,,5.29,2.06e+03,1.06,,2.4e-05,2.8e+01,2.3e-05,5.0e-05,4.1e-05,3.0e-04,2.8e-05,,1.1e-07,3.3e-03,,.84927,,,,
"     C/2000 K2 (LINEAR)",0.9953,2.437,25.63,195.26,106.83,1042.30,1.19e+04,COM,315,,,,,1000306,C,,12.4,,4.5,,,,,,,,"JPL 54",2451933.5,51933,2001-01-24.0,J2000,522.4,0.01,8.255e-05,2451828.87,4.36e+06,1.56,609,0.291,1.75,6.2e-06,7.0e-01,2.4e-06,2.9e-05,5.1e-05,1.4e-04,1.7e-05,1.4e+00,1.7e-07,5.0e-04,8.7e+03,.79936,,,,
"     C/2000 K3 (SOHO)",1.0000,0.005,145.47,353.01,74.99,,,PAR,11,,,,,1001518,C,,,,,,,,,,,,SAO_2008,2451684.8,51684,2000-05-20.3,J2000,,,,2451684.81,,,,,,,,,,,,,,,,,,,,,
"     C/2000 K4 (SOHO)",1.0000,0.005,145.78,2.79,81.93,,,PAR,16,,,,,1001519,C,,,,,,,,,,,,SAO_2008,2451687.5,51687,2000-05-23.0,J2000,,,,2451687.52,,,,,,,,,,,,,,,,,,,,,
"     C/2000 K5 (SOHO)",1.0000,0.005,144.24,2.78,81.87,,,PAR,12,,,,,1001520,C,,,,,,,,,,,,SAO_2008,2451690.9,51690,2000-05-26.4,J2000,,,,2451690.91,,,,,,,,,,,,,,,,,,,,,
"     C/2000 K6 (SOHO)",1.0000,0.005,143.17,6.27,84.45,,,PAR,8,,,,,1001521,C,,,,,,,,,,,,SAO_2008,2451692.0,51692,2000-05-27.5,J2000,,,,2451692.02,,,,,,,,,,,,,,,,,,,,,
"     C/2000 K7 (SOHO)",1.0000,0.006,143.07,9.68,85.53,,,PAR,9,,,,,1001522,C,,,,,,,,,,,,SAO_2008,2451684.1,51684,2000-05-19.6,J2000,,,,2451684.12,,,,,,,,,,,,,,,,,,,,,
"     C/2000 K8 (SOHO)",1.0000,0.005,144.98,358.92,76.89,,,PAR,5,,,,,1001523,C,,,,,,,,,,,,SAO_2008,2451694.7,51694,2000-05-30.2,J2000,,,,2451694.71,,,,,,,,,,,,,,,,,,,,,
